start	end	text
0	3360	però per dire che non sta visticciando
3360	5020	mi deve dare una definizione di visticciare
5020	7460	la definizione di visticciare è un'azione
7460	8320	fra due cose
8320	9820	fra due persone
9820	11100	tutti i tanghi sono due persone
11100	17400	tutto questo è il meccanismo
17400	19800	che quando voi avete fatto
19800	20760	software engineering
20760	22280	ve l'hanno spiegato
22280	25320	è sicuramente qualcosa
25320	26580	che se tu fai AI
26580	29020	la devi implementare
29020	29500	le macchine
29500	32860	è sicuramente un qualcosa
32860	33960	che noi come logica
33960	35320	dobbiamo andare a formalizzare
35320	36380	in modo che poi
36380	38160	una volta che siamo messi d'accordo
38160	40340	sul fatto di come formalizziamo
40340	42560	questa pittura
42560	45640	del mondo
45640	46900	in un linguaggio
46900	50580	in realtà
50580	52540	si può arguire o meno
52540	54480	se la tua descrizione formale
54480	57120	è una descrizione per lo meno corretta
57120	59200	in cui si può mettere d'accordo
59200	60040	del mondo
60040	64860	allora bene
64860	69320	allora l'entità è il concetto più importante
69320	70320	abbiamo già detto che
70320	72420	nella vostra sommabilizzazione
72420	73920	e quando volete esercizi in forma
73920	78960	sono lasciate la presentazione
78960	79800	come dovete fare
79800	80880	potete vedere una figura
80880	83100	e sulla base del purpose
83100	85280	del problema da risolvere
85280	87140	se il dettavente
87140	87940	dovete costruire
87940	88880	decidete cosa
88880	90080	come rischiare
90080	90900	poi abbiamo l'entità
90900	98040	qual'è la differenza
98040	99520	tra una figlia o l'entità
99520	100500	che prima di tutto
100500	102400	noi
102400	104340	in qualche maniera
104340	106960	diciamo che
106960	108200	ci viene da dire
108200	108680	che
108680	110100	le tre persone
110100	111280	sono diverse fra di loro
111280	112880	ma sono più simili
112880	113480	fra di loro
113480	114680	che fra loro e i cani
114680	117360	e che i cani
117360	119100	sono simili
119100	119660	fra di loro
119660	120540	e meno simili
120540	121260	sulle persone
121260	123480	e che i cani
123480	123980	probabilmente
123980	124560	sono più simili
124560	125080	fra di loro
125080	126140	e più simili
126140	126820	alle persone
126820	127880	della strada
127880	129420	o degli animali
129420	131020	o degli alberi
131020	134800	quindi a questo punto
134800	135480	stiamo parlando
